"","uniqueID","gender","firstCount","lastCount","midCount","allCount","firstCount15","lastCount15","midCount15","allCount15"
"127672","Justin Cheng-Ta Yang","male",2,0,3,5,1,0,0,1
"127673","Justin D Pearlman","male",4,0,7,11,0,0,0,0
"127674","Justin A Mariani","male",1,0,4,5,0,0,1,1
"127675","Justin Ghosh","male",0,0,1,1,0,0,0,0
"127676","Justin Fried","male",0,0,1,1,0,0,1,1
"127677","Justin M Johnson","male",0,0,1,1,0,0,0,0
"127678","Justin A Ezekowitz","male",5,2,11,18,1,1,8,10
"127679","Justin Maloney","male",0,0,3,3,0,0,1,1
"127680","Justin Schroeder","male",0,0,1,1,0,0,0,0
"127683","Justin C Mason","male",1,2,8,11,1,0,2,3
"127684","Justin O'Leary","male",0,0,2,2,0,0,1,1
"127685","Justin Fletcher","male",0,0,1,1,0,0,1,1
"127687","Justin Mascitelli","male",0,0,1,1,0,0,0,0
"127689","Justin M Carter","male",0,0,1,1,0,0,0,0
"127690","Justin J Boutilier","male",1,0,0,1,1,0,0,1
"127694","Justin P Zachariah","male",0,2,2,4,0,2,0,2
"127695","Justin E Davies","male",3,4,11,18,1,4,7,12
"127696","Justin M Schaffer","male",1,0,0,1,1,0,0,1
"127699","Justin M Bachmann","male",2,0,0,2,2,0,0,2
"127702","Justin B Dimick","male",1,0,0,1,0,0,0,0
"127705","Justin Mitchell","male",0,0,1,1,0,0,1,1
"127711","Justin Z Lee","male",1,0,3,4,1,0,0,1
"127719","Justin T Saunders","male",1,0,0,1,1,0,0,1
"127722","Justin Hayase","male",0,0,1,1,0,0,1,1
"127723","Justin L Martin","male",0,0,1,1,0,0,1,1
"127724","Justin Newcomer","male",0,0,1,1,0,0,0,0
"127727","Justin K Ng","male",0,0,2,2,0,0,2,2
"127729","Justin D Anderson","male",1,0,1,2,0,0,1,1
"127730","Justin Heistand","male",0,0,1,1,0,0,0,0
"127734","Justin J W Choi","male",0,0,1,1,0,0,0,0
"127737","Justin A Rodante","male",0,0,1,1,0,0,1,1
"127738","Justin Linam","male",0,0,1,1,0,0,0,0
"127740","Justin Keadle","male",0,0,1,1,0,0,1,1
"127741","Justin Vader","male",0,0,1,1,0,0,1,1
"127743","Justin L Grodin","male",1,0,0,1,1,0,0,1
"127744","Justin B Echouffo-Tcheugui","male",1,0,0,1,1,0,0,1
"127745","Justin Rascon","male",0,0,1,1,0,0,1,1
"127748","Justin S Becker","male",1,0,0,1,0,0,0,0
"127750","Justin J Elhoff","male",1,0,0,1,1,0,0,1
"127752","Justin Brewer","male",0,0,1,1,0,0,1,1
"127754","Justin R Kingery","male",0,0,1,1,0,0,0,0
"127757","Justin Oakley","male",0,1,0,1,0,1,0,1
"127763","Justin Lawley","male",0,0,1,1,0,0,1,1
"127768","Justin Michalski","male",0,0,1,1,0,0,1,1
"127772","Justin D Salciccioli","male",0,0,2,2,0,0,2,2
